URL,Performance,Accessibility,Best Practices,SEO,Status
"/",53,85,96,92,OK
"/login.php",99,94,96,58,OK
"/onboarding.php",100,94,96,58,OK
"/profile.php",99,94,96,58,OK
"/favorites.php",99,94,96,58,OK
"/quiz.php",99,92,96,100,OK
"/compare.php",89,93,96,100,OK
"/offline.php",96,100,96,91,OK
"/sitemap.php",0,0,0,0,FAILED
"/best-beaches.php",88,93,96,100,OK
"/best-beaches-san-juan.php",77,93,96,100,OK
"/best-family-beaches.php",72,93,96,100,OK
"/best-snorkeling-beaches.php",86,93,96,100,OK
"/best-surfing-beaches.php",83,93,96,100,OK
"/beaches-near-san-juan.php",82,93,96,100,OK
"/beaches-near-san-juan-airport.php",77,93,96,100,OK
"/hidden-beaches-puerto-rico.php",71,93,96,100,OK
"/municipality.php?name=Manat%C3%AD",49,85,96,92,OK
"/municipality.php?name=Hatillo",53,85,96,92,OK
"/municipality.php?name=Fajardo",50,85,96,92,OK
"/municipality.php?name=Manati",61,85,96,92,OK
"/municipality.php?name=Aguada",49,85,96,92,OK
"/municipality.php?name=Arroyo",50,85,96,92,OK
